Lahore Marathon
42KM MALE
RANK	BIB	NAME	TEAM	LAP	TIME FINISHED	DURATION
1	4267	Muhammad Ali		1	'00:04:05.044	'06:04:16.136
-	4290	4290		0	-	-
-	4291	4291		0	-	-
-	4292	4292		0	-	-
-	4293	4293		0	-	-
-	4294	4294		0	-	-
-	4295	4295		0	-	-
-	4296	4296		0	-	-
-	4297	4297		0	-	-
-	4298	4298		0	-	-
-	4299	4299		0	-	-
-	4288	Aamir Shahzad		0	-	-
-	4224	Abdul Rehman		0	-	-
-	4223	Abubakar Waheed		0	-	-
-	4268	Aden Maaz		0	-	-
-	4245	Aftab Hussain		0	-	-
-	4237	Agha		0	-	-
-	4277	Ali Khurshid		0	-	-
-	4257	Ali Raza		0	-	-
-	4281	Ameer Hamza		0	-	-
-	4243	Arham Azam		0	-	-
-	4228	Asad Ullah		0	-	-
-	4258	Az		0	-	-
-	4248	Chaudhry Mujtaba Imran		0	-	-
-	4282	Danish Ali		0	-	-
-	4240	Danish Raza		0	-	-
-	4263	Faisal Mehdi		0	-	-
-	4269	Faisal Zafar		0	-	-
-	4262	Faizan Faiz		0	-	-
-	4289	Fida Watan		0	-	-
-	4226	Gert Rens		0	-	-
-	4238	Ghulam Murtaza		0	-	-
-	4264	Hamas Minhas		0	-	-
-	4234	Hamza		0	-	-
-	4229	Hassaan Zaheer		0	-	-
-	4241	Ibrahim Murtaza Ali		0	-	-
-	4221	Imran Aleem		0	-	-
-	4273	Israr Khattak		0	-	-
-	4254	Jawad Khan		0	-	-
-	4233	Jelle Beekma		0	-	-
-	4276	Kamran Yousaf Yousaf		0	-	-
-	4260	Khudh Amdeen		0	-	-
-	4239	Mohsin Ali		0	-	-
-	4252	Mubariz		0	-	-
-	4236	Muhammad Abrar Hussain		0	-	-
-	4251	Muhammad Hatim Khan		0	-	-
-	4279	Muhammad Imran		0	-	-
-	4280	Muhammad Junaid		0	-	-
-	4259	Muhammad Nazeer		0	-	-
-	4261	Muhammad Sajid		0	-	-
-	4270	Muhammad Tayyab Khan		0	-	-
-	4285	Muhammad Usman		0	-	-
-	4242	Muhammad Yahya Vana		0	-	-
-	4256	Mumtaz Khan		0	-	-
-	4230	Muneeb Ahmad		0	-	-
-	4286	Naveed Shah Abbasi		0	-	-
-	4227	Rufi Shahzada		0	-	-
-	4272	Shabbir  Ahmad Taj		0	-	-
-	4274	Shahbaz Ahmad		0	-	-
-	4278	Shahbaz Masieh		0	-	-
-	4265	Sher Muhammad		0	-	-
-	4271	Shoaib		0	-	-
-	4246	Takahiro Kumagae		0	-	-
-	4231	Umar Farooq Butt		0	-	-
-	4250	Umer Khalid		0	-	-
-	4275	Waleed Qasim Bashir		0	-	-
-	4247	Waqar		0	-	-
-	4235	Waseem Khan		0	-	-
-	4222	Zain Ahmad		0	-	-
-	4255	Zeeshan Malik		0	-	-
42KM FEMALE
RANK	BIB	NAME	TEAM	LAP	TIME FINISHED	DURATION
-	4225	Aisha Mustoor Butt		0	-	-
-	4249	Anum Malik		0	-	-
-	4284	Christina		0	-	-
-	4232	Farhat Batool		0	-	-
-	4283	Muantawan Arsrairas		0	-	-
-	4266	Muhammad Saif		0	-	-
-	4244	Nadia Farooq		0	-	-
-	4253	Sadia Maqbool		0	-	-
-	4287	Umaira Sheraz		0	-	-
21KM MALE
RANK	BIB	NAME	TEAM	LAP	TIME FINISHED	DURATION
1	2323	Dawood Shahid		1	'00:04:44.413	'06:05:08.182
-	2211	2211		0	-	-
-	2382	2382		0	-	-
-	2384	2384		0	-	-
-	2385	2385		0	-	-
-	2387	2387		0	-	-
-	2388	2388		0	-	-
-	2389	2389		0	-	-
-	2390	2390		0	-	-
-	2391	2391		0	-	-
-	2392	2392		0	-	-
-	2393	2393		0	-	-
-	2395	2395		0	-	-
-	2396	2396		0	-	-
-	2397	2397		0	-	-
-	2398	2398		0	-	-
-	2399	2399		0	-	-
-	2418	2418		0	-	-
-	2419	2419		0	-	-
-	2420	2420		0	-	-
-	2421	2421		0	-	-
-	2422	2422		0	-	-
-	2423	2423		0	-	-
-	2424	2424		0	-	-
-	2425	2425		0	-	-
-	2426	2426		0	-	-
-	2427	2427		0	-	-
-	2428	2428		0	-	-
-	2429	2429		0	-	-
-	2430	2430		0	-	-
-	2366	Abdi Muhammed Adam		0	-	-
-	2266	Abdul Hayi	LAHORE RUNNERS	0	-	-
-	2188	Abdul Moiz	ABDUL MOIZ	0	-	-
-	2279	Abdul Qadeem	PAKISTAN ROAD RUNNERS	0	-	-
-	2296	Abdul Qadir		0	-	-
-	2300	Abdul Rafeh Iqbal	TEAM IRON CLUB	0	-	-
-	2164	Abdul Rauf		0	-	-
-	2374	Abdul Rehman	IRC	0	-	-
-	2154	Abdul Rehman		0	-	-
-	2258	Abdul Rehman	LAHORE RUNNERS	0	-	-
-	2306	Abdul Wahab	KJFC	0	-	-
-	2263	Abdullah Khan	LAHORE RUNNERS	0	-	-
-	2239	Abid	ISLAMABAD RUNNING CLUB	0	-	-
-	2370	Abubakar Habib	LAHORE RUNNERS	0	-	-
-	2289	Aceph Mahboub	ISLAMABAD RUN WITH US	0	-	-
-	2364	Adeel	PRR KASUR	0	-	-
-	2229	Adnan Khalid	ISLAMABAD RUNNING CLUB	0	-	-
-	2119	Adnan Khan		0	-	-
-	2170	Adnan Saleem		0	-	-
-	2217	Affan Baig	ISLAMABAD RUNNING CLUB	0	-	-
-	2261	Ahmad Chaudhary	LAHORE RUNNERS	0	-	-
-	2367	Ahmed Arshad	PRR	0	-	-
-	2338	Ahmed Raza		0	-	-
-	2130	Ahmed Shujjah		0	-	-
-	2135	Ahsan Ali		0	-	-
-	2329	Ahsan Asif	TEAM IRON RUN CLUB	0	-	-
-	2195	Aleem Ahmed	CML	0	-	-
-	2394	Alexey Ivanov		0	-	-
-	2413	Ali Hamza	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2416	Ali Hamza	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2332	Ali Hassan	HIKER.PK	0	-	-
-	2348	Ali Imam Hayat	LDWAP 	0	-	-
-	2342	Ali Murad		0	-	-
-	2212	Ali Raza	ISLAMABAD RUNNING CLUB	0	-	-
-	2276	Ali Raza	PAKISTAN ROAD RUNNERS	0	-	-
-	2371	Ali Raza Rizvi	CML	0	-	-
-	2134	Allan	PHONEZO	0	-	-
-	2251	Altaf Ul Rehman	KJFC	0	-	-
-	2177	Aly Saahir Lalani		0	-	-
-	2122	Aman Ullah		0	-	-
-	2409	Ameer Ali		0	-	-
-	2120	Ameer Hamza		0	-	-
-	2158	Amina Abbas	CML	0	-	-
-	2161	Amir Amin		0	-	-
-	2360	Amir Sharif	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2243	Ammar Mohsin	AMMAR MOHSIN	0	-	-
-	2412	Ammar Shahzad	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2316	Andrew Bailey	BASF	0	-	-
-	2404	Anees Khuaja	WNP	0	-	-
-	2331	Aqeel Bhatti	KJFC	0	-	-
-	2178	Arfan Shahzad	INDIVIDUAL	0	-	-
-	2236	Asif Ali Khan	ISLAMABAD RUNNING CLUB	0	-	-
-	2339	Asif Jutt		0	-	-
-	2277	Asim Abbas Raza	PAKISTAN ROAD RUNNERS	0	-	-
-	2193	Atiq Ul Hassan	LONEWOLF CLUB	0	-	-
-	2295	Azeem Sayani		0	-	-
-	2310	Baber Ali	KJFC	0	-	-
-	2350	Being_me_shami	ISLAMABAD RUN WITH US	0	-	-
-	2238	Bilal Ehsan	ISLAMABAD RUNNING CLUB	0	-	-
-	2180	Bilal Hameed	ISLAMABAD RUN WITH US 	0	-	-
-	2354	Danish Gondal	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2344	Danyal Moin		0	-	-
-	2333	Dawar Nadeem	TEAM IRON RUNNING CLUB 	0	-	-
-	2117	Devrim		0	-	-
-	2417	Dr Asif Bashir		0	-	-
-	2264	Dr Farooq	LAHORE RUNNERS	0	-	-
-	2187	Dr Syed Muhammad Raza	ISLAMABAD RUN WITH US 	0	-	-
-	2319	Dr. Sajjad Ahmad Khan	ISLAMABAD RUNNING CLUB	0	-	-
-	2272	Eitesam Ahmad Khan	LAHORE RUNNERS	0	-	-
-	2112	Fahad Nadeem		0	-	-
-	2139	Faisal Shafi		0	-	-
-	2246	Faizan Zulifqar	KJFC	0	-	-
-	2160	Fuad	FTC	0	-	-
-	2254	Furqan Javaid	LAHORE RUNNERS	0	-	-
-	2209	Furqan Masood	ISLAMABAD RUNNING CLUB	0	-	-
-	2205	Ghulam Mujtaba	ISLAMABAD RUN WITH US 	0	-	-
-	2324	Hafi Javed	LAHORE RUNNERS	0	-	-
-	2268	Hafiz Zeeshan	LAHORE RUNNERS	0	-	-
-	2196	Haider Ali Jan		0	-	-
-	2204	Haider Javed	HAIDER JAVED	0	-	-
-	2148	Haider Najafi		0	-	-
-	2166	Hamid Butt		0	-	-
-	2314	Hamza		0	-	-
-	2241	Hamza Ali	ISLAMABAD RUNNING CLUB	0	-	-
-	2242	Hamza Kashif		0	-	-
-	2165	Hamza Nofil		0	-	-
-	2182	Hamza Rafi		0	-	-
-	2210	Hamza Saleem Abbasi	ISLAMABAD RUNNING CLUB	0	-	-
-	2202	Hamza Shumsy	RAWALPINDI RUNNERS 	0	-	-
-	2189	Hamza Tarar		0	-	-
-	2215	Hanzala	ISLAMABAD RUNNING CLUB	0	-	-
-	2123	Haseeb Aslam	ISLAMABAD RUN WITH US	0	-	-
-	2157	Hassan	CML	0	-	-
-	2365	Hassan Ali	PRR KASUR	0	-	-
-	2373	Hassan Jamil Khan		0	-	-
-	2197	Hassan Raza		0	-	-
-	2408	Imam Zahid		0	-	-
-	2406	Imran Haider		0	-	-
-	2250	Imran Sial	KJFC	0	-	-
-	2303	Irtaza Qayyum		0	-	-
-	2141	Javed Ali	MARGALLA TRAIL RUNNERS	0	-	-
-	2152	Jawad Musaddiq	CDL	0	-	-
-	2281	Jazib Zafar		0	-	-
-	2199	Kamran Rahim		0	-	-
-	2308	Kamran Sahi	KJFC	0	-	-
-	2415	Kashif Imran	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2368	Kashif Nawaz	PRR	0	-	-
-	2356	Kashif Nawaz	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2234	Khizer Rehman	ISLAMABAD RUNNING CLUB	0	-	-
-	2133	Khurram Shehzad Malik	ISLAMABAD RUN WITH US	0	-	-
-	2208	LiuYueRan		0	-	-
-	2326	M Abubakar Tahir	ISLAMABAD RUN WITH US 	0	-	-
-	2128	M Asif		0	-	-
-	2358	M Shahid Randhawa	PUNJAB ATHLETIC ACADEMY	0	-	-
-		M. Ibrahim Awais		0	-	-
-	2184	Mashood	ISLAMABAD RUN WITH US	0	-	-
-	2336	Mehmood	WAYFARERS ADVENTURE ASSOCIATION	0	-	-
-	2155	Mirza Luqman Ahmed		0	-	-
-	2138	Misbah Ullah		0	-	-
-	2198	Mohammad Ali	HIKER PK	0	-	-
-	2351	Mohammad Mannan Akmal		0	-	-
-	2259	Mohsin Ehsan	LAHORE RUNNERS	0	-	-
-	2136	Mohsin Saleem	MOHSIN SALEEM	0	-	-
-	2144	Mr Asad	MR ASAD	0	-	-
-	2317	Mudasser Shahzad	ISLAMABAD RUNNING CLUB	0	-	-
-	2278	Mudassir Zafar	PAKISTAN ROAD RUNNERS	0	-	-
-	2347	Muhammad  Omer	LDWAP 	0	-	-
-	2334	Muhammad  Zain	OBI	0	-	-
-	2179	Muhammad Abbas	INDIVIDUAL	0	-	-
-	2280	Muhammad Abdullah		0	-	-
-	2142	Muhammad Abeer Farrukh	NOT ANY	0	-	-
-	2194	Muhammad Adil	MUHAMMAD ADIL	0	-	-
-	2362	Muhammad Ahmed	PUNJAB ATHLETIC ACADEMY	0	-	-
-	2294	Muhammad Ali Siddiqi		0	-	-
-	2343	Muhammad Asim Qaseem		0	-	-
-	2383	Muhammad Awais		0	-	-
-	2227	Muhammad Azeem	ISLAMABAD RUNNING CLUB	0	-	-
-	2256	Muhammad Babar Riaz	LAHORE RUNNERS	0	-	-
-	2247	Muhammad Ejaz	KJFC	0	-	-
-	2269	Muhammad Farooq	LAHORE RUNNERS	0	-	-
-	2233	Muhammad Hashim	ISLAMABAD RUNNING CLUB	0	-	-
-	2309	Muhammad Ikram	KJFC	0	-	-
-	2307	Muhammad Irfan	KJFC	0	-	-
-	2111	Muhammad Irfan Chaudhry		0	-	-
-	2219	Muhammad Jibran	ISLAMABAD RUNNING CLUB	0	-	-
-	2249	Muhammad Kashif	KJFC	0	-	-
-	2405	Muhammad Laraib Yazdani		0	-	-
-	2216	Muhammad Mansoor	ISLAMABAD RUNNING CLUB	0	-	-
-	2337	MUHAMMAD NAVEED	ARMY	0	-	-
-	2407	Muhammad Ramzan	PUNJAB UNIVERSITY	0	-	-
-	2203	Muhammad Rehan Rafi		0	-	-
-	2150	Muhammad Rizwan Arshad		0	-	-
-	2147	Muhammad Sadiq	WAYFARERS ADVENTURE ASSOCIATION QUETTA	0	-	-
